Timestamp,delta RT 412,delta RT 411,delta RT 410,delta RT 409,delta RT 408,delta RT 407,delta RT 415
12/9/2016 10:00,0.3951149,-0.04657364,-0.21242142,-0.24938774,0.23069382,-0.36821365,-0.05937767
12/9/2016 10:15,0.2576275,0.055696487,-0.13734818,-0.31108475,0.21578026,-0.26982307,-0.032110214
12/9/2016 10:30,0.37834167,0.003791809,-0.16276169,-0.3316555,0.27658653,-0.34733582,-0.011362076
12/9/2016 10:45,0.25154114,0.017723083,-0.1477623,-0.22991943,0.20160866,-0.21825218,-0.14331245
12/9/2016 11:00,0.22739983,0.113285065,-0.14449883,-0.2937603,0.22413063,-0.18700218,-0.10548782
12/9/2016 11:15,0.19734764,-0.013971329,-0.20570946,-0.13690186,0.31352234,-0.320364,-0.049942017
12/9/2016 11:30,0.18850327,-0.02202034,-0.10603714,-0.2442913,0.22193718,-0.5068283,-0.022083282
12/9/2016 11:45,0.2249794,0.087495804,-0.14556122,-0.28321457,0.3257923,-0.34378242,0.012237549
12/9/2016 12:00,0.31806564,-0.025936127,-0.31450272,-0.25642014,0.36590767,-0.41727638,0.05156517
12/9/2016 12:15,0.27762032,-0.018774033,-0.18457413,-0.2677765,0.33213425,-0.3632164,0.030042648
12/9/2016 12:30,0.38726234,-0.012266159,-0.16950226,-0.22583008,0.3370018,-0.4006214,-0.009040833
12/9/2016 12:45,0.17739105,0.006443024,-0.14998055,-0.23624611,0.24949646,-0.42261887,-0.022439957
12/9/2016 13:00,0.28470612,-0.027666092,-0.24182892,-0.18220711,0.331913,-0.37625694,0.091041565
12/9/2016 13:15,0.15129662,-0.012145996,-0.12926483,-0.12865067,0.33312225,-0.27612877,-0.048347473
12/9/2016 13:30,0.28277588,0.015207291,-0.26591682,-0.235075,0.27672577,-0.41300583,0.08176613
12/9/2016 13:45,0.20542145,-0.027021408,-0.20210648,-0.1962452,0.33172035,-0.47724724,-0.08686447
12/9/2016 14:00,0.1885891,-0.020925522,-0.17673111,-0.18625069,0.32410812,-0.2696514,-0.10657883
12/9/2016 14:15,0.22816086,0.09388733,-0.25076103,-0.26059723,0.32011986,-0.35076714,-0.032579422
